803678 804319 -
804455 804823 +
804883 805668 +
805974 808433 +
808583 809449 +
809604 810527 +
810612 811550 +
811605 813197 +
813226 813816 +
813798 815504 +
815521 817608 +
817849 819186 -
819205 820693 -
820709 820897 -
821042 823798 -
824037 826355 -
827103 829628 -
829998 831569 -
831600 832322 -
832606 833382 -
833919 834746 -
835059 836366 -
836505 837215 -
837715 840366 -
840588 840742 +
840985 843753 -
844044 845510 -
845507 846985 -
847002 847307 -
847598 847879 +
848275 849099 -
849272 850141 -
850783 851897 +
852270 853621 +
853797 854228 -
854483 855379 +
855434 855994 -
856238 856570 -
856634 856804 +
856831 857001 -
857014 857778 -
857909 859573 +
859577 859804 +
859809 860066 +
860071 862005 +
862048 862881 -
862890 863981 -
864130 866232 -
866531 868867 -
869098 871413 -
871855 872406 -
872387 873142 -
873287 873598 -
873759 874634 -
874643 875965 -
875953 876954 -
877214 877999 -
877888 878976 +
878973 879665 +
879873 880868 +
880847 881995 +
881974 882633 +
882570 883841 +
883823 884494 +
884567 885904 +
885840 886370 +
886367 887446 +
887431 888585 +
888566 889999 +
890049 890837 +
891066 892382 +
892416 893003 +
893014 894471 +
894680 895726 +
895719 896540 -
896564 897550 -
897808 899388 -
899423 899566 -
899681 901261 -
901333 902232 +
902229 902528 -
902890 904350 +
904350 904868 +
904884 906416 +
906435 907928 +
907931 908665 -
908625 909557 -
909662 911521 -
911667 912929 -
913137 914849 +
914951 916333 -
916385 918160 +
918293 918898 +
918907 919515 +
919521 920396 +
920353 921651 -
921669 921854 -
922109 922594 +
922648 923169 +
923184 923705 +
923785 924492 +
924489 924719 -
924709 925182 -
925424 925693 +
925734 927818 +
927994 930726 -
930916 931875 -
931994 933067 +
933071 934171 +
934140 936185 -
936550 937569 -
937584 937949 -
937968 938162 -
938140 938700 -
939089 939571 +
939598 940512 +
940466 941068 -
942010 943050 -
943071 946205 -
946584 947381 +
947390 948625 +
948629 951553 -
951713 953083 +
953138 954604 -
954888 955919 -
956180 957211 -
957396 958508 -
959044 959581 -
960260 960547 -
960531 960983 -
961004 963514 -
963829 964869 -
966165 967046 -
967060 968220 -
968291 969163 +
969172 969888 -
969939 971129 -
971217 973046 -
973053 974429 -
974904 976196 +
976205 978019 +
978203 979675 +
979747 984576 -
984696 985658 -
985674 985856 -
985869 986330 -
986631 988178 +
988189 989184 +
989186 992014 +
992062 993414 -
993624 993842 +
993796 994689 -
994724 995233 -
995249 995497 -
995515 995853 -
995945 996487 -
996489 997046 -
997501 998931 +
998913 999533 -
1000231 1003233 +
1003312 1003905 -
1003975 1004463 -
1004734 1004997 -
1005218 1006990 -
1007474 1009960 +
1009963 1011774 +
1011777 1012247 -
1012653 1013129 +
1013174 1013479 -
1013502 1013639 -
1013884 1014021 +
1014033 1014452 +
1014394 1015440 -
1015833 1017257 +
1017254 1018837 -
1019393 1020547 -
1021083 1022201 +
1022376 1023503 +
1023575 1024717 +
1024824 1025324 -
1025484 1026161 +
1026110 1028359 +
1028288 1029400 -
1029454 1031070 -
1031088 1031849 -
1031979 1032956 +
1032951 1034006 -
1034161 1034808 +
1034842 1035294 -
1035297 1036547 -
1036564 1036923 -
1036984 1037385 -
1037436 1037624 -
1037621 1039282 -
1039368 1040429 +
1040404 1041432 -
1041442 1041774 -
1041849 1042634 +
1042631 1042969 +
1043071 1043514 +
1043588 1046017 -
1046027 1047100 -
1047006 1048163 -
1048182 1048883 -
1048886 1050139 -
1050142 1051191 -
1051208 1052551 -
1052966 1054525 +
1054689 1055576 +
1055601 1055822 -
1055866 1056438 -
1056699 1057541 +
1057535 1059532 -
1059765 1062383 +
1062353 1065610 +
1065621 1066610 +
1066591 1067967 +
1068003 1069310 +
1069266 1071734 -
1071754 1071960 -
1072150 1072521 +
1072791 1073996 +
1074067 1074420 +
1074561 1075856 +
1075873 1077759 -
1083565 1085985 +
1085987 1086784 +
1086772 1087437 +
1087441 1087893 -
1087906 1089282 -
1089401 1090054 -
1090319 1091680 +
1091729 1092193 -
1092207 1093463 -
1093524 1094654 -
1094698 1095981 +
1096025 1096771 +
1096783 1098759 +
1098756 1099895 -
1099935 1100513 +
1100481 1101008 -
1101049 1101756 -
1101913 1102599 +
1102554 1103708 +
1103705 1104505 +
1104797 1105822 +
1105839 1106375 +
1106372 1107673 +
1107670 1108038 +
1108050 1109435 +
1109432 1110436 +
1110590 1111624 +
1111621 1112790 -
1112811 1115111 -
1115229 1117031 -
1117034 1118134 -
1118139 1121639 -
1121925 1123253 +
1123432 1124043 +
1124053 1125318 +
1125348 1126580 +
1126697 1128154 +
1128230 1128757 +
1128821 1131733 -
1131727 1131936 -
1131917 1133242 -
1133302 1134207 -
1134358 1135686 +
1135693 1136322 +
1136507 1137745 +
1137775 1141422 +
1141447 1141911 -
1142334 1143719 +
1143716 1144648 +
1145346 1145534 -
1146093 1147100 +
1147100 1147933 +
1148054 1148755 +
1149085 1149690 +
1149702 1149989 +
1149997 1150866 +
1151132 1151608 -
1151693 1152697 -
1152702 1153244 -
1153229 1153663 -
1153679 1154050 -
1154074 1155249 -
1155259 1156749 -
1156739 1159003 -
1159004 1160257 -
1160426 1161493 -
1161498 1163240 -
1163463 1164158 +
1164179 1164541 +
1164578 1166044 +
1166077 1167411 +
1167483 1168394 -
1168594 1170501 +
1170534 1171301 +
1171306 1172058 +
1172062 1172616 +
1172625 1173659 +
1173668 1175641 +
1175833 1177119 +
1177379 1178428 +
1178506 1179519 -
1179668 1180765 -
1181023 1183065 -
1183168 1184238 -
1184362 1185192 -
1185543 1187450 +
1187447 1189261 +
1189367 1192258 +
1192260 1193033 -
1193047 1194927 -
1194931 1195824 -
1195962 1196747 -
1197070 1199214 -
1199386 1200084 +
1200081 1200488 +
1200492 1201280 +
1201312 1202607 +
1202604 1203182 +
1203172 1203789 +
1203896 1204285 +
1204282 1204872 -
1205196 1206776 -
1206887 1208131 -
1208346 1208966 +
1208949 1209182 -
1209179 1209889 -
1209992 1211911 +
1211914 1213194 +
1213254 1214048 -
1214655 1217270 +
1217222 1218229 -
1218208 1218504 -
1218606 1219997 +
1220006 1220590 +
1220581 1221867 +
1221877 1222419 +
1222791 1223852 +
1224010 1224684 -
1224691 1225431 -
1225388 1225900 -
1225926 1227278 -
1227251 1227655 -
1227709 1229427 -
1229586 1230791 -
1231052 1231351 +
1231382 1232230 +
1232303 1233784 -
1233951 1235780 -
1235977 1236684 +
1236759 1237385 +
1237401 1238270 +
1238475 1238729 -
1238834 1240429 -
1240501 1240665 +
